# New features should be added to the bottom to not disrupt existing numbering.
Tag,Name,Is Default
aalt,Access All Alternates,0
abvf,Above-base Forms,1
abvm,Above-base Mark Positioning,1
abvs,Above-base Substitutions,1
afrc,Alternative Fractions,0
akhn,Akhand,1
blwf,Below-base Forms,1
blwm,Below-base Mark Positioning,1
blws,Below-base Substitutions,1
calt,Contextual Alternates,1
case,Case-Sensitive Forms,0
ccmp,Glyph Composition / Decomposition,1
cfar,Conjunct Form After Ro,1
chws,Contextual Half-width Spacing,1
cjct,Conjunct Forms,1
clig,Contextual Ligatures,1
cpct,Centered CJK Punctuation,0
cpsp,Capital Spacing,0
cswh,Contextual Swash,1
curs,Cursive Positioning,1
cv01-cv99,Character Variants,0
c2pc,Petite Capitals From Capitals,0
c2sc,Small Capitals From Capitals,0
dist,Distances,1
dlig,Discretionary Ligatures,0
dnom,Denominators,1
dtls,Dotless Forms,1
expt,Expert Forms,0
falt,Final Glyph on Line Alternates,0
fin2,Terminal Forms #2,1
fin3,Terminal Forms #3,1
fina,Terminal Forms,1
flac,Flattened accent forms,1
frac,Fractions,1
fwid,Full Widths,0
half,Half Forms,1
haln,Halant Forms,1
halt,Alternate Half Widths,0
hist,Historical Forms,0
hkna,Horizontal Kana Alternates,0
hlig,Historical Ligatures,0
hngl,Hangul,0
hojo,Hojo Kanji Forms (JIS X 0212-1990 Kanji Forms),0
hwid,Half Widths,0
init,Initial Forms,1
isol,Isolated Forms,1
ital,Italics,0
jalt,Justification Alternates,1
jp78,JIS78 Forms,0
jp83,JIS83 Forms,0
jp90,JIS90 Forms,0
jp04,JIS2004 Forms,0
kern,Kerning,1
lfbd,Left Bounds,0
liga,Standard Ligatures,1
ljmo,Leading Jamo Forms,1
lnum,Lining Figures,0
locl,Localized Forms,1
ltra,Left-to-right alternates,1
ltrm,Left-to-right mirrored forms,1
mark,Mark Positioning,1
med2,Medial Forms #2,1
medi,Medial Forms,1
mgrk,Mathematical Greek,0
mkmk,Mark to Mark Positioning,1
mset,Mark Positioning via Substitution,1
nalt,Alternate Annotation Forms,0
nlck,NLC Kanji Forms,0
nukt,Nukta Forms,1
numr,Numerators,1
onum,Oldstyle Figures,0
opbd,Optical Bounds,0
ordn,Ordinals,0
ornm,Ornaments,0
palt,Proportional Alternate Widths,0
pcap,Petite Capitals,0
pkna,Proportional Kana,0
pnum,Proportional Figures,0
pref,Pre-Base Forms,1
pres,Pre-base Substitutions,1
pstf,Post-base Forms,1
psts,Post-base Substitutions,1
pwid,Proportional Widths,0
qwid,Quarter Widths,0
rand,Randomize,1
rclt,Required Contextual Alternates,1
rkrf,Rakar Forms,1
rlig,Required Ligatures,1
rphf,Reph Forms,1
rtbd,Right Bounds,0
rtla,Right-to-left alternates,1
rtlm,Right-to-left mirrored forms,1
ruby,Ruby Notation Forms,0
rvrn,Required Variation Alternates,1
salt,Stylistic Alternates,0
sinf,Scientific Inferiors,0
size,Optical size,0
smcp,Small Capitals,0
smpl,Simplified Forms,0
ss01-ss20,Stylistic Set 1,0
ssty,Math script style alternates,1
stch,Stretching Glyph Decomposition,1
subs,Subscript,0
sups,Superscript,0
swsh,Swash,0
titl,Titling,0
tjmo,Trailing Jamo Forms,1
tnam,Traditional Name Forms,0
tnum,Tabular Figures,0
trad,Traditional Forms,0
twid,Third Widths,0
unic,Unicase,0
valt,Alternate Vertical Metrics,1
vatu,Vattu Variants,1
vchw,Vertical Contextual Half-width Spacing,1
vert,Vertical Writing,1
vhal,Alternate Vertical Half Metrics,0
vjmo,Vowel Jamo Forms,1
vkna,Vertical Kana Alternates,0
vkrn,Vertical Kerning,1
vpal,Proportional Alternate Vertical Metrics,1
vrt2,Vertical Alternates and Rotation,1
vrtr,Vertical Alternates for Rotation,1
zero,Slashed Zero,0
